y_test_index,Actual,Predicted
121,Iris-virginica,Iris-virginica
3,Iris-setosa,Iris-setosa
94,Iris-versicolor,Iris-versicolor
66,Iris-versicolor,Iris-versicolor
22,Iris-setosa,Iris-setosa
89,Iris-versicolor,Iris-versicolor
141,Iris-virginica,Iris-virginica
129,Iris-virginica,Iris-virginica
59,Iris-versicolor,Iris-versicolor
35,Iris-setosa,Iris-setosa
20,Iris-setosa,Iris-setosa
62,Iris-versicolor,Iris-versicolor
92,Iris-versicolor,Iris-versicolor
45,Iris-setosa,Iris-setosa
25,Iris-setosa,Iris-setosa
118,Iris-virginica,Iris-versicolor
95,Iris-versicolor,Iris-versicolor
84,Iris-versicolor,Iris-versicolor
138,Iris-virginica,Iris-virginica
23,Iris-setosa,Iris-setosa
128,Iris-virginica,Iris-virginica
32,Iris-setosa,Iris-setosa
7,Iris-setosa,Iris-setosa
93,Iris-versicolor,Iris-versicolor
81,Iris-versicolor,Iris-versicolor
110,Iris-virginica,Iris-virginica
77,Iris-versicolor,Iris-versicolor
38,Iris-setosa,Iris-setosa
111,Iris-virginica,Iris-virginica
48,Iris-setosa,Iris-setosa
64,Iris-versicolor,Iris-versicolor
70,Iris-versicolor,Iris-versicolor
99,Iris-virginica,Iris-virginica
113,Iris-virginica,Iris-virginica
104,Iris-virginica,Iris-virginica
42,Iris-setosa,Iris-setosa
117,Iris-virginica,Iris-virginica
134,Iris-virginica,Iris-virginica
43,Iris-setosa,Iris-setosa
46,Iris-setosa,Iris-setosa
98,Iris-versicolor,Iris-versicolor
1,Iris-setosa,Iris-setosa
74,Iris-versicolor,Iris-versicolor
125,Iris-virginica,Iris-virginica
105,Iris-virginica,Iris-versicolor
